indicator,borough,county,county_fips,period,period_start_year,period_end_year,period_midpoint,latitude,longitude,age_adjusted_rate_3yr_per_10000,age_adjusted_annual_rate_per_10000,event_count_3yr,crude_rate_3yr_per_10000,crude_annual_rate_per_10000,daily_mean_events,location_precision,source
Hospitalizations,Brooklyn,Kings,36047,2012-2014,2012,2014,2013-07-01T00:00:00Z,40.6782,-73.9442,83.3,27.766,21351,82.57,27.523,19.481,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Manhattan,New York County,36061,2012-2014,2012,2014,2013-07-01T00:00:00Z,40.7831,-73.9712,69.93,23.308,10300,63.29,21.098,9.398,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Queens,Queens,36081,2012-2014,2012,2014,2013-07-01T00:00:00Z,40.7282,-73.7949,51.17,17.055,11599,50.74,16.913,10.583,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Staten Island,Richmond,36085,2012-2014,2012,2014,2013-07-01T00:00:00Z,40.5795,-74.1502,55.52,18.507,2694,57.14,19.048,2.458,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Bronx,Bronx,36005,2013-2015,2013,2015,2014-07-01T00:00:00Z,40.8448,-73.8648,878.79,292.93,126638,884.99,294.996,115.651,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Brooklyn,Kings,36047,2013-2015,2013,2015,2014-07-01T00:00:00Z,40.6782,-73.9442,429.54,143.18,110044,423.36,141.118,100.497,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Manhattan,New York County,36061,2013-2015,2013,2015,2014-07-01T00:00:00Z,40.7831,-73.9712,449.59,149.864,62335,382.09,127.364,56.927,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Queens,Queens,36081,2013-2015,2013,2015,2014-07-01T00:00:00Z,40.7282,-73.7949,250.58,83.527,54694,238.08,79.361,49.949,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
ED Visits,Staten Island,Richmond,36085,2013-2015,2013,2015,2014-07-01T00:00:00Z,40.5795,-74.1502,254.61,84.872,11498,243.59,81.195,10.5,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
Hospitalizations,Bronx,Bronx,36005,2013-2015,2013,2015,2014-07-01T00:00:00Z,40.8448,-73.8648,161.93,53.975,23124,161.6,53.866,21.118,Approximate borough centroid; county-level health data,New York State Department of Health asthma hospitalization and ED visit data
